,image,Team,team_photo,year,draft_pick,yprr_p,yprr,tprr_p,tprr,name,open_p,open,catch_p,catch,yac_p,yac,draft_agep,htp,ht,wtp,wt,dashp,dash,vertp,vert,broadp,broad,conep,cone,shuttlep,shuttle,rasp,ras,draft_age,breakoutagep,breakout_age,hs,best_ppg ,adp,years_removed
128,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4696882.png&w=350&h=254,North Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/1200px-North_Carolina_Tar_Heels_logo.svg.png,2024,none,0.563,2.52,0.401,0.24,Devontez Walker,0.592,56,0.683,76,0.042,53,0.19,,,,,,,,,,,,,,,,,22.8,0.094,22.1,4,,,
118,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4432708.png&w=350&h=254,Ohio State,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,2024,none,0.852,2.98,0.809,0.28,Marvin Harrison Jr.,0.937,71,0.43,69,0.289,61,0.584,,,,,,,,,,,,,,,,,21.6,0.551,20.1,3,,,
121,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4567750.png,Ohio State,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,2024,none,0.69,2.66,0.521,0.25,Emeka Egbuka,0.592,56,0.472,70,0.803,73,0.62,,,,,,,,,,,,,,,,,21.5,0.594,19.9,3,,,
124,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4686612.png&w=350&h=254,Ole Miss,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,2024,none,0.599,2.54,0.521,0.25,Tre Harris,0.521,53,0.507,71,0.521,67,,,,,,,,,,,,,,,,,,,#N/A,,4,,,
135,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4427225.png&w=350&h=254,Ole Miss,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,2024,none,0.296,2.18,0.521,0.25,Zakhari Franklin,0.19,42,0.507,71,0.5,66,0.015,,,,,,,,,,,,,,,,,23.6,0.029,22.9,5,,,
120,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4608810.png,Oregon,https://upload.wikimedia.org/wikipedia/commons/f/f8/Oregon_Ducks_logo.svg,2024,none,0.761,2.83,0.901,0.3,Tez Johnson,0.521,53,0.43,69,0.908,79,,,,,,,,,,,,,,,,,,,#N/A,,4,,,
122,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4431280.png&w=350&h=254,Oregon,https://upload.wikimedia.org/wikipedia/commons/f/f8/Oregon_Ducks_logo.svg,2024,none,0.669,2.63,0.401,0.24,Troy Franklin,0.514,52,0.782,79,0.437,65,0.818,,,,,,,,,,,,,,,,,21.1,0.449,20.4,3,,,
143,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430034.png,South Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/South_Carolina_Gamecocks_logo.svg/1200px-South_Carolina_Gamecocks_logo.svg.png,2024,none,0.056,1.75,0.014,0.18,Xavier Legette,0.049,32,0.507,71,0.387,64,0.088,,,,,,,,,,,,,,,,,23.2,0.058,22.5,5,,,
132,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4683062.png&w=350&h=254,Texas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/1280px-Texas_Longhorns_logo.svg.png,2024,none,0.408,2.27,0.803,0.28,Xavier Worthy,0.521,53,0.099,58,0.521,67,0.876,,,,,,,,,,,,,,,,,21,0.949,18.4,3,,,
142,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4597500.png,Texas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/1280px-Texas_Longhorns_logo.svg.png,2024,none,0.056,1.75,0.07,0.19,Adonai Mitchell,0.134,38,0.43,69,0.014,50,0.241,,,,,,,,,,,,,,,,,22.6,0.123,21.9,4,,,
138,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428532.png,Texas A&M,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Texas_A%26M_University_logo.svg/2492px-Texas_A%26M_University_logo.svg.png,2024,none,0.169,1.99,0.31,0.23,Ainias Smith,0.324,45,0.099,58,0.521,67,0.139,,,,,,,,,,,,,,,,,22.9,0.768,19.3,5,,,
137,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4686781.png,USC,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/686px-USC_Trojans_logo.svg.png,2024,none,0.232,2.09,0.176,0.21,Brenden Rice,0.268,44,0.317,66,0.521,67,0.401,,,,,,,,,,,,,,,,,22.1,0.217,21.4,4,,,
129,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4431299.png&w=350&h=254,Washington,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/1200px-Washington_Huskies_logo.svg.png,2024,none,0.542,2.51,0.62,0.26,Rome Odunze,0.592,56,0.507,71,0.289,61,0.489,,,,,,,,,,,,,,,,,21.9,0.768,19.3,4,,,
136,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430834.png,Washington,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/1200px-Washington_Huskies_logo.svg.png,2024,none,0.254,2.11,0.31,0.23,Jalen McMillan,0.268,44,0.472,70,0.387,64,0.372,,,,,,,,,,,,,,,,,22.2,0.196,21.5,4,,,
139,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430637.png,Washington,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/1200px-Washington_Huskies_logo.svg.png,2024,none,0.155,1.95,0.07,0.19,Ja'Lynn Polk,0.148,39,0.577,73,0.289,61,0.401,,,,,,,,,,,,,,,,,22.1,0.217,21.4,4,,,
134,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4613104.png,Western Kentucky,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/WKU_Athletics_logo.svg/1200px-WKU_Athletics_logo.svg.png,2024,none,0.331,2.21,0.732,0.27,Malachi Corley,0.07,35,0.169,60,0.93,81,0.372,,,,,,,,,,,,,,,,,22.2,0.196,21.5,4,,,
34,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Zay-Flowers-WR-BostonCollege.png,Boston College,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Boston_College_Eagles_logo.svg/1200px-Boston_College_Eagles_logo.svg.png,2023,22,0.317,2.19,0.401,0.24,Zay Flowers,0.563,55,0.035,53,0.437,65,0.372,0.112,5092,0.209,182,0.667,4.42,0.347,35.5,0.667,127,,-,,-,0.505,8.29,22.3,0.594,20,4,9.41,10,1
8,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Puka-Nacua-WR-Washington.png,BYU,https://upload.wikimedia.org/wikipedia/commons/a/a7/BYU_Stretch_Y_Logo.png,2023,177,0.965,3.45,0.93,0.31,Puka Nacua,0.951,72,0.901,83,0.69,70,0.62,0.716,6016,0.73,210,0.115,4.56,0.074,33,,-,0.041,7.32,0.213,4.36,0.107,5.17,21.6,0.754,19.3,4,13.5,43,1
75,https://www.playerprofiler.com/wp-content/uploads/2023/01/tre-tucker-advanced-stats.png,Cincinnati,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cincinnati_Bearcats_logo.svg/1200px-Cincinnati_Bearcats_logo.svg.png,2023,100,0.486,2.37,0.732,0.27,Tre Tucker,0.486,51,0.296,65,0.732,71,0.533,0.052,5085,0.209,182,0.708,4.4,0.632,37.5,0.398,124,0.342,7.07,0.067,4.49,0.359,7.17,21.8,0.254,21.1,4,3.51,50,1
93,https://www.playerprofiler.com/wp-content/uploads/2023/01/tyler-scott-advanced-stats.png,Cincinnati,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cincinnati_Bearcats_logo.svg/1200px-Cincinnati_Bearcats_logo.svg.png,2023,133,0.275,2.12,0.127,0.2,Tyler Scott,0.225,43,0.387,67,0.732,71,0.818,0.172,5097,0.104,177,0.531,4.44,0.8,39.5,0.903,133,0.534,6.99,0.533,4.25,0.621,8.61,21.2,0.29,20.9,3,1.71,46,1
111,https://www.playerprofiler.com/wp-content/uploads/2022/02/justin-shorter-advanced-stats.png,Florida,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/1200px-Florida_Gators_gator_logo.svg.png,2023,150,0.014,1.55,0.014,0.18,Justin Shorter,0.049,32,0.472,70,0.056,54,0.241,0.966,6042,0.991,229,0.115,4.55,0.347,35.5,0.613,126,0.014,7.35,0.107,4.46,0.456,7.94,22.7,0.058,22.4,5,0,50,1
10,https://www.playerprofiler.com/wp-content/uploads/2023/01/nathaniel-dell-advanced-stats.png,Houston,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Houston_Cougars_primary_logo.svg/1200px-Houston_Cougars_primary_logo.svg.png,2023,69,0.627,2.57,0.732,0.27,Nathaniel Dell,0.556,54,0.472,70,0.521,67,0.088,0.034,5083,0.009,165,0.375,4.49,,-,0.172,121,,-,,-,0.155,5.82,23.2,0.406,20.6,5,12.9,33,1
26,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Jayden-Reed-WR-MichiganState.png,Michigan State,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Michigan_State_Athletics_logo.svg/1200px-Michigan_State_Athletics_logo.svg.png,2023,50,0.296,2.18,0.521,0.25,Jayden Reed,0.43,49,0.197,62,0.437,65,0.241,0.259,5107,0.287,187,0.531,4.45,0.158,33.5,0.172,121,,-,0.373,4.29,0.252,6.74,22.7,0.964,18.4,5,10.62,24,1
46,https://www.si.com/.image/t_share/MTkwMzU2NTE2MTg2ODkxNjY4/north-carolina-wr-josh-downs.png,North Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/1200px-North_Carolina_Tar_Heels_logo.svg.png,2023,79,0.535,2.5,0.732,0.27,Josh Downs,0.38,47,0.62,75,0.62,69,0.723,0.069,5086,0.052,171,0.375,4.48,0.705,38.5,0.849,131,0.863,6.75,0.76,4.15,0.709,8.99,21.4,0.79,19.1,3,7.4,21,1
45,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4430878.png,Ohio State,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,2023,20,0.944,3.32,0.62,0.26,Jaxon Smith-Njigba,0.782,62,1,92,0.838,74,0.905,0.517,6005,0.443,196,0.229,4.52,0.295,35,0.527,125,0.973,6.57,1,3.93,0.544,8.34,20.9,0.667,19.6,3,7.42,6,1
74,https://www.si.com/.image/t_share/MTkwNTY0Njg2NTQwODQyODc2/oklahoma-wr-marvin-mims.png,Oklahoma,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/795px-Oklahoma_Sooners_logo.svg.png,2023,63,0.831,2.95,0.239,0.22,Marvin Mims,0.648,57,0.972,89,0.345,63,0.978,0.259,5107,0.226,183,0.813,4.38,0.8,39.5,0.785,129,0.712,6.9,,-,0.816,9.41,20.8,0.942,18.5,3,3.71,22,1
67,https://www.si.com/.image/t_share/MTgyNzQwMDEyMDQxNzc0NDk5/i.png,Ole Miss,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,2023,39,0.007,1.48,0.007,0.17,Jonathan Mingo,0.113,37,0.021,52,0.246,60,0.584,0.716,6016,0.861,220,0.469,4.46,0.8,39.5,0.785,129,0.438,7.04,0.56,4.25,0.971,9.87,21.7,0.471,20.4,4,4.71,16,
100,https://www.si.com/.image/t_share/MTkzNjgwOTU2OTcwNzcxOTA3/purdue-wr-charlie-jones.png,Purdue,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/1200px-Purdue_Boilermakers_logo.svg.png,2023,131,0.352,2.22,0.401,0.24,Charlie Jones,0.345,46,0.62,75,0.246,60,0.015,0.336,5113,0.078,175,0.615,4.43,0.516,36.5,0.398,124,0.781,6.84,0.733,4.15,0.592,8.54,24.2,0.007,23.9,6,1.11,50,1
25,https://www.si.com/.image/t_share/MTkwODkwMTI2MTQ0OTcyNDcw/smu-wr-rashee-rice.png,SMU,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/1200px-SMU_Mustang_logo.svg.png,2023,55,0.451,2.34,0.62,0.26,Rashee Rice,0.345,46,0.197,62,0.803,73,0.533,0.517,6005,0.574,204,0.271,4.51,0.947,41,0.71,128,0.466,7.02,0.627,4.23,0.835,9.53,21.7,0.471,20.4,4,10.71,18,1
49,https://www.si.com/.image/t_share/MTkzODEwNDk4ODIxNTYzODg4/stanford-wr-michael-wilson.png,Stanford,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/304px-Stanford_Cardinal_logo.svg.png,2023,94,0.07,1.77,0.176,0.21,Michael Wilson,0.063,33,0.408,68,0.521,67,0.168,0.741,6017,0.791,213,0.063,4.58,0.632,37.5,0.527,125,0.808,6.81,0.44,4.27,0.854,9.55,22.9,0.667,19.5,5,7.01,37,1
68,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Quentin-Johnston-WR-TCU.png,TCU,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/1280px-TCU_Horned_Frogs_logo.svg.png,2023,21,0.697,2.71,0.521,0.25,Quentin Johnston,0.761,61,0.317,66,0.592,68,0.774,0.81,6026,0.696,208,0.229,4.52,0.895,40.5,0.914,134,0.096,7.31,0.413,4.28,0.66,8.69,21.3,0.819,19,3,4.52,7,1
96,https://www.si.com/.image/t_share/MTkzODEwNTMzOTg2NjA4NjI0/tcu-wr-derius-davis.png,TCU,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/1280px-TCU_Horned_Frogs_logo.svg.png,2023,125,0.176,2,0.31,0.23,Derius Davis,0.268,44,0.099,58,0.69,70,0.372,0.034,5083,0.009,165,0.813,4.36,0,30.5,0,105,0.178,7.23,0.187,4.38,0.039,4.29,22.3,0.181,21.6,5,1.61,50,1
80,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Jalin-Hyatt-WR-Tennessee.png,Tennessee,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/1200px-Tennessee_Volunteers_logo.svg.png,2023,73,0.514,2.44,0.176,0.21,Jalin Hyatt,0.38,47,0.838,80,0.387,64,0.774,0.431,6001,0.087,176,0.708,4.4,0.853,40,0.935,135,0.411,7.06,0.307,4.33,0.68,8.76,21.3,0.29,20.9,3,3.11,23,1
87,https://www.si.com/.image/t_share/MTg5NTY1MzQ4ODUxMjMwMjky/tennessee-wr-cedric-tillman.png,Tennessee,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/1200px-Tennessee_Volunteers_logo.svg.png,2023,74,0.239,2.1,0.239,0.22,Cedric Tillman,0.155,40,0.859,81,0.092,56,0.241,0.871,6033,0.791,213,0.177,4.54,0.6,37,0.71,128,0.082,7.32,,-,0.65,8.67,22.7,0.217,21.4,5,2.21,31,1
16,https://www.si.com/.image/t_share/MTkwMzU2NjU0Njk5NTg2OTY0/usc-wr-jordan-addison.png,USC,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/686px-USC_Trojans_logo.svg.png,2023,23,0.683,2.64,0.62,0.26,Jordan Addison,0.486,51,0.62,75,0.62,69,0.927,0.293,5111,0.052,171,0.375,4.49,0.189,34,0.258,122,0.411,7.05,0.68,4.19,0.175,5.94,20.9,0.884,18.6,3,12.01,8,1
62,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Dontayvion-Wicks-WR-Virginia.png,Virginia,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Virginia_Cavaliers_logo.svg/800px-Virginia_Cavaliers_logo.svg.png,2023,159,0.493,2.39,0.401,0.24,Dontayvion Wicks,0.796,63,0.099,58,0.014,50,0.62,0.672,6013,0.643,206,0.021,4.62,0.758,39,0.828,130,0.671,6.91,0.627,4.2,0.748,9.17,21.5,0.507,20.2,4,5.32,50,1
71,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Jameson-Williams-WR-OhioState.png,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,2022,12,0.542,2.51,0.07,0.19,Jameson Williams,0.43,49,0.683,76,0.803,73,0.949,0.69,6014,0.148,179,,-,,-,,-,,-,,-,,-,20.8,0.449,20.4,3,4.25,6,"1,2"
94,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/John-Metchie-WR-Alabama.png,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,2022,44,0.352,2.22,0.31,0.23,John Metchie III,0.092,36,0.782,79,0.838,74,0.62,0.31,5112,0.287,187,,-,,-,,-,,-,,-,,-,21.5,0.254,21.1,3,1.69,20,1
61,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Treylon-Burks-WR-Arkansas.png,Arkansas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arkansas_Razorbacks_logo.svg/250px-Arkansas_Razorbacks_logo.svg.png,2022,18,0.789,2.87,0.521,0.25,Treylon Burks,0.739,60,0.577,73,0.732,71,0.511,0.767,6020,0.922,225,0.135,4.55,0.074,33,0.258,122,0.123,7.28,0.173,4.4,0.146,5.79,21.8,0.406,20.5,3,5.47,5,"1,2"
76,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Tyquan-Thornton-WR-Baylor.png,Baylor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/1200px-Baylor_Athletics_logo.svg.png,2022,50,0.099,1.87,0.07,0.19,Tyquan Thornton,0.183,41,0.43,69,0.134,57,0.745,0.784,6023,0.165,181,0.979,4.28,0.516,36.5,0.828,130,0.164,7.25,0.187,4.39,0.592,8.54,21.4,0.819,19.1,4,3.45,25,"1,2"
64,https://yardsperfantasy.com/wp-content/uploads/2022/01/AB1F7897-5AFE-4DF6-9BFA-08357D09B4DE.png,Cincinnati,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cincinnati_Bearcats_logo.svg/1200px-Cincinnati_Bearcats_logo.svg.png,2022,53,0.296,2.18,0.127,0.2,Alec Pierce,0.19,42,0.923,84,0.042,53,0.584,0.853,6031,0.757,211,0.667,4.41,0.895,40.5,0.785,129,0.26,7.13,0.44,4.28,0.961,9.83,21.7,0.754,19.3,4,5.17,21,"1,2"
38,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/George-Pickens-WR-Georgia.png,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/1200px-Georgia_Athletics_logo.svg.png,2022,52,0.458,2.35,0.401,0.24,George Pickens,0.415,48,0.782,79,0.077,55,0.949,0.862,6032,0.426,195,0.469,4.47,0.074,33,0.527,125,,-,,-,0.796,9.35,20.8,0.928,18.5,3,8.65,13,"1,2"
56,https://www.si.com/.image/t_share/MTgzNDMwNjE5MTYwNjUwNzkw/i.png,Kentucky,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kentucky_Wildcats_logo.svg/1200px-Kentucky_Wildcats_logo.svg.png,2022,43,0.845,2.96,0.951,0.33,Wan'Dale Robinson,0.739,60,0.782,79,0.62,69,0.876,0.026,5080,0.113,178,0.531,4.44,0.221,34.5,0.075,118,0.521,6.99,0.827,4.13,0.379,7.35,21,0.884,18.7,3,6.22,22,"1,2"
83,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4243389.png&w=350&h=254,Memphis,https://upload.wikimedia.org/wikipedia/en/4/45/Memphis_Tigers_logo.svg,2022,138,0.732,2.76,0.866,0.29,Calvin Austin III,0.915,70,0.07,57,0.387,64,0.19,0.017,5076,0.043,170,0.896,4.32,0.758,39,0.935,135,0.959,6.65,0.893,4.07,0.738,9.05,22.8,0.072,22.4,5,2.64,40,1
42,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Romeo-Doubs-WR-Nevada.png,Nevada,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Nevada_Wolf_Pack_logo.svg/1200px-Nevada_Wolf_Pack_logo.svg.png,2022,132,0.401,2.25,0.31,0.23,Romeo Doubs,0.268,44,0.718,77,0.345,63,0.533,0.741,6017,0.496,201,,-,,-,,-,,-,,-,,-,21.7,0.725,19.4,4,7.63,28,"1,2"
20,https://www.si.com/.image/t_share/MTgyMDk5MTA2Mjg0NDQ2ODUx/chris-olave.png,Ohio State,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,2022,11,0.754,2.8,0.62,0.26,Chris Olave,0.711,59,0.958,87,0.092,56,0.679,0.56,6006,0.287,187,0.74,4.39,0.053,32,0.398,124,,-,,-,0.641,8.64,21.5,0.79,19.2,4,11.21,7,"1,2"
30,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Garrett-Wilson-WR-OhioState.png,Ohio State,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,2022,10,0.711,2.73,0.521,0.25,Garrett Wilson,0.563,55,0.838,80,0.437,65,0.679,0.379,5116,0.226,183,0.781,4.38,0.421,36,0.323,123,,-,0.213,4.36,0.427,7.77,21.5,0.507,20.1,3,10.23,4,"1,2"
41,https://www.si.com/.image/t_share/MTgyMTAxMDUyMTczMDY3Mzk1/i.png,Penn State,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/1200px-Penn_State_Nittany_Lions_logo.svg.png,2022,16,0.254,2.11,0.239,0.22,Jahan Dotson,0.324,45,0.275,64,0.521,67,0.533,0.233,5105,0.113,178,0.615,4.43,0.421,36,0.172,121,0.123,7.28,,-,0.233,6.33,21.8,0.254,21.2,4,7.94,11,"1,2"
89,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570409.png&w=350&h=254,Purdue,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/1200px-Purdue_Boilermakers_logo.svg.png,2022,99,0.465,2.36,0.732,0.27,David Bell,0.345,46,0.62,75,0.437,65,0.818,0.586,6007,0.765,212,0,4.65,0.074,33,0.075,118,0.233,7.14,0,4.57,0.01,3.99,21.1,0.884,18.7,3,1.82,17,"1,2"
108,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4248822.png&w=350&h=254,Samford,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Samford_Bulldogs_logo.svg/1200px-Samford_Bulldogs_logo.svg.png,2022,162,0.127,1.91,0.07,0.19,Montrell Washington,0.155,40,0.317,66,0.387,64,0.533,0.095,5087,0.165,181,0.375,4.48,0.421,36,,-,0.151,7.25,0.333,4.32,0.049,4.32,21.8,0.254,21.1,4,0,45,0
109,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4689546.png,SMU,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/1200px-SMU_Mustang_logo.svg.png,2022,105,0.514,2.44,0.401,0.24,Danny Gray,0.465,50,0.387,67,0.944,82,0.19,0.397,5117,0.261,186,0.896,4.33,0.189,34,0.613,126,0,7.38,0.213,4.37,0.262,6.76,22.8,0.196,21.5,4,0,45,0
97,https://www.si.com/.image/t_share/MTgyNDUzODAyNjY4OTI2MDgz/i.png,South Alabama,https://upload.wikimedia.org/wikipedia/en/e/ee/Southalabama_jaguars_logo.png,2022,88,0.606,2.55,0.521,0.25,Jalen Tolbert,0.782,62,0.317,66,0.204,59,0.168,0.638,6011,0.409,194,0.333,4.49,0.421,36,0.323,123,0.342,7.08,0.56,4.24,0.621,8.61,22.9,0.406,20.5,5,1.59,23,"1,2"
92,https://www.si.com/.image/t_share/MTg2MzczMzAzMzg3MDM4ODQ5/i.png,Tennessee,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/1200px-Tennessee_Volunteers_logo.svg.png,2022,71,0.218,2.05,0.239,0.22,Velus Jones Jr.,0.07,35,0.577,73,0.887,78,0,0.379,5116,0.574,204,0.948,4.31,0.074,33,0.172,121,0.068,7.32,0.053,4.51,0.33,7.1,24.7,0,24.3,6,1.74,37,"1,2"
110,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Erik-Ezukanma-WR-TexasTech.png,Texas Tech,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/1200px-Texas_Tech_Athletics_logo.svg.png,2022,125,0.282,2.14,0.176,0.21,Erik Ezukanma,0.225,43,0.43,69,0.62,69,0.489,0.741,6017,0.722,209,0.135,4.55,0.516,36.5,0.613,126,0.205,7.2,0.213,4.38,0.311,7.03,21.9,0.37,20.6,4,0,45,0
85,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Kyle-Philips-WR-UCLA.png,UCLA,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/UCLA_Bruins_primary_logo.svg/1200px-UCLA_Bruins_primary_logo.svg.png,2022,163,0.049,1.74,0.401,0.24,Kyle Philips,0.19,42,0.035,53,0.437,65,0.241,0.31,5112,0.339,189,0.083,4.58,0.158,33.5,0.398,124,0.863,6.75,0.893,4.09,0.524,8.31,22.6,0.507,20.2,4,2.41,38,
36,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Drake-London-WR-USC.png,USC,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/686px-USC_Trojans_logo.svg.png,2022,8,0.444,2.32,0.31,0.23,Drake London,0.19,42,0.782,79,0.592,68,1,0.914,6037,0.852,219,,-,,-,,-,,-,,-,,-,20.5,0.986,18.1,3,8.8,3,"1,2"
84,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430191.png&w=350&h=254,Western Michigan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Western_Michigan_Broncos_%282021%29_logo.svg/1200px-Western_Michigan_Broncos_%282021%29_logo.svg.png,2022,54,0.817,2.92,0.866,0.29,Skyy Moore,0.761,61,0.577,73,0.69,70,0.774,0.155,5095,0.426,195,0.667,4.41,0.221,34.5,0.527,125,0.288,7.13,0.36,4.32,0.408,7.58,21.3,0.551,20,3,2.5,10,"1,2"
