,image,Team,team_photo,year,draft_pick,yprr_p,yprr,tprr_p,tprr,name,open_p,open,catch_p,catch,yac_p,yac,draft_agep,htp,ht,wtp,wt,dashp,dash,vertp,vert,broadp,broad,conep,cone,shuttlep,shuttle,rasp,ras,draft_age,breakoutagep,breakout_age,hs,best_ppg ,adp,years_removed
37,`https://b.fssta.com/uploads/application/nfl/headshots/14996.vresize.350.350.medium.28.png,Auburn,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/2317px-Auburn_Tigers_logo.svg.png,2019,171,0.176,2,0.176,0.21,Darius Slayton,0.648,57,0,45,0.077,55,0.401,0.603,6010,0.365,190,0.74,4.39,0.895,40.5,0.935,135,0.507,7,0.76,4.15,0.699,8.91,22.2,0.348,20.7,4,8.73,45,"1,2"
113,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/166184.png&w=350&h=254,Baylor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/1200px-Baylor_Athletics_logo.svg.png,2019,67,0.239,2.1,0.401,0.24,Jalen Hurd,0.465,50,0.197,62,0.092,56,0.088,0.983,6045,0.939,226,,-,,-,,-,,-,,-,0.485,8.21,23.2,0.029,22.6,5,0,34,0
33,https://www.playerprofiler.com/wp-content/uploads/2019/02/hunter-renfrow.png,Clemson,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/1200px-Clemson_Tigers_logo.svg.png,2019,149,0.028,1.66,0.176,0.21,Hunter Renfrow,0.014,27,0.754,78,0.289,61,0.073,0.19,5102,0.252,184,0.083,4.58,0.295,35,0.054,116,0.822,6.8,0.68,4.19,0,2.91,23.3,0.167,21.7,5,9.42,43,"2,3"
51,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4035004.png,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/1200px-Georgia_Athletics_logo.svg.png,2019,56,0.606,2.55,0.521,0.25,Mecole Hardman,0.683,58,0.317,66,0.521,67,0.861,0.19,5102,0.287,187,0.896,4.33,0.516,36.5,0.108,119,,-,,-,0.524,8.31,21.1,0.471,20.4,3,6.72,16,"1,2"
98,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/201914.png&w=350&h=254,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/1200px-Georgia_Athletics_logo.svg.png,2019,126,0.035,1.68,0.014,0.18,Riley Ridley,0.014,27,0.838,80,0.134,57,0.19,0.647,6012,0.47,199,0.083,4.58,0,30.5,0.398,124,0.192,7.22,0.413,4.28,0.078,4.54,22.7,0.072,22.1,4,1.2,38,"1,2"
116,https://www.playerprofiler.com/wp-content/uploads/2019/02/Hakeem-Butler-1.png,Iowa State,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Iowa_State_Cyclones_logo.svg/800px-Iowa_State_Cyclones_logo.svg.png,2019,103,0.739,2.78,0.401,0.24,Hakeem Butler,0.894,69,0.197,62,0.204,59,0.168,0.991,6055,0.957,227,0.375,4.48,0.421,36,0.71,128,,-,,-,0.825,9.47,22.9,0.217,21.3,4,0,10,0
78,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3932423.png&w=350&h=254,Notre Dame,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Notre_Dame_Fighting_Irish_logo.svg/1200px-Notre_Dame_Fighting_Irish_logo.svg.png,2019,93,0.204,2.02,0.239,0.22,Miles Boykin,0.38,47,0.317,66,0.028,52,0.299,0.905,6036,0.861,220,0.615,4.42,1,43.5,1,140,0.836,6.77,0.933,4.07,0.981,9.94,22.5,0.848,18.9,4,3.25,27,"1,2"
24,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/172491.png&w=350&h=254,Ohio State,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,2019,76,0.134,1.93,0,0.16,Terry McLaurin,0.028,28,0.979,90,0.246,60,0.007,0.431,6001,0.696,208,0.854,4.35,0.632,37.5,0.527,125,0.493,7.01,0.787,4.15,0.864,9.56,24.5,0.007,23.8,5,10.77,31,"3,4"
55,https://www.playerprofiler.com/wp-content/uploads/2016/02/parris-campbell.png,Ohio State,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,2019,59,0.972,3.47,0.972,0.34,Parris Campbell,0.873,68,0.62,75,1,89,0.438,0.397,5117,0.609,205,0.948,4.31,0.853,40,0.935,135,,-,0.96,4.03,0.913,9.76,22.1,0.993,18.1,4,6.31,11,"3,4"
27,https://static.www.nfl.com/image/private/t_headshot_desktop/league/wgxeuyqliuweurzeigyh,Oklahoma,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/795px-Oklahoma_Sooners_logo.svg.png,2019,25,1,3.66,0.803,0.28,Marquise Brown,0.958,73,0.901,83,0.915,80,0.511,0.121,5093,0.026,166,,-,,-,,-,,-,,-,0.515,8.3,21.8,0.217,21.3,4,10.47,17,"2,3"
4,https://cdn-headshots.theathletic.com/nfl/21042.png,Ole Miss,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,2019,51,0.887,3.1,0.62,0.26,A.J. Brown,0.683,58,0.901,83,0.866,75,0.533,0.483,6004,0.939,226,0.333,4.49,0.516,36.5,0.118,120,,-,,-,0.612,8.59,21.8,0.507,20.2,3,15.57,9,"4,5"
9,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4047650.png,Ole Miss,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,2019,64,0.12,1.9,0.014,0.18,D.K. Metcalf,0.225,43,0.099,58,0.62,69,0.774,0.871,6033,0.974,228,0.896,4.33,0.895,40.5,0.914,134,0.014,7.38,0.067,4.5,0.893,9.66,21.3,0.652,19.7,3,13.24,8,"2,3"
1,https://static.www.nfl.com/image/private/t_headshot_desktop/league/ciwaktyqewczcquks4wy,South Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/South_Carolina_Gamecocks_logo.svg/1200px-South_Carolina_Gamecocks_logo.svg.png,2019,36,0.563,2.52,0.732,0.27,DeeboSamuel,0.592,56,0.134,59,0.993,86,0.088,0.31,5112,0.817,214,0.375,4.48,0.758,39,0.258,122,0.452,7.03,0.787,4.14,0.447,7.91,23.2,0.333,20.9,5,17.39,12,"3,5"
86,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3931397.png&w=350&h=254,Stanford,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/304px-Stanford_Cardinal_logo.svg.png,2019,57,0.775,2.85,0.62,0.26,J.J. Arcega-Whiteside,0.648,57,0.979,90,0.056,54,0.401,0.767,6020,0.922,225,,-,,-,,-,,-,,-,0.204,6.14,22.2,0.37,20.6,4,2.33,14,"1,2"
